StationID,Date,month,SLP(mb),StnP(mb),T(degC),Precip(mm),Sun(%normal)
85120,1894,3,1019.4,,13.4,117.8,0
85120,1895,3,1021.8,,13.2,58.9,0
85120,1896,3,1026.4,,14.5,12,0
85120,1897,3,1021.9,,15.2,28.8,0
85120,1898,3,1018.6,,13.9,51.8,0
85120,1899,3,1012.7,,13.9,101,0
85120,1900,3,1018.3,,13,69.3,0
85120,1901,3,1016.2,,14.3,68.3,0
85120,1902,3,1021.1,,14,34,0
85120,1903,3,1025.6,,13.4,44.6,0
85120,1904,3,1019.2,,13.4,49,0
85120,1905,3,1020.7,,14.3,63.5,0
85120,1906,3,1018.7,,14.3,75.7,0
85120,1907,3,1028.7,,14.5,23.9,0
85120,1908,3,1028.4,,14.9,20.2,0
85120,1909,3,1016.1,,14.5,70.5,0
85120,1910,3,1024.3,,13.6,39.5,0
85120,1911,3,1023.1,,14.8,38.4,0
85120,1912,3,1024.3,,13.6,70.9,0
85120,1913,3,1025,,13.4,24.8,0
85120,1914,3,1025.9,,14.6,38.7,0
85120,1915,3,1009,,14.7,132.8,0
85120,1916,3,1013.4,,14.1,144.7,0
85120,1917,3,1019.5,,13.6,122.9,0
85120,1918,3,1020.7,,14.5,39.3,0
85120,1919,3,1023.5,,14,37.7,0
85120,1920,3,1027.2,,14,39.2,0
85120,1921,3,1025.8,,13.9,50.6,0
85120,1922,3,1024,,14.1,22.9,0
85120,1923,3,1018.4,,14.6,52.5,0
85120,1924,3,1005.1,,15,131.9,0
85120,1925,3,1018.7,,13.2,146.7,0
85120,1926,3,1020.4,,14.4,60.4,0
85120,1927,3,1023.4,,14.9,59.7,0
85120,1928,3,1015.9,,14.5,40.5,0
85120,1929,3,1013.8,,14.3,84.2,0
85120,1930,3,1016.7,,14.5,74.7,0
85120,1931,3,1005.1,,15,129,0
85120,1932,3,1015.5,,14.9,64,0
85120,1933,3,1019.9,,15.3,58,0
85120,1934,3,1026.6,,14.4,12,0
85120,1935,3,1020.4,,15,36,0
85120,1936,3,1014.3,,13.5,85,0
85120,1937,3,1017,,14.4,93,0
85120,1938,3,1023.9,,14.5,57,0
85120,1939,3,1022.4,,14.7,55,0
85120,1940,3,1013.9,,15.3,114,0
85120,1941,3,1020.8,1016.5,14.4,115.9,0
85120,1942,3,1009.2,1004.9,14.1,231.2,0
85120,1943,3,1018.5,1014.2,13.2,142.7,0
85120,1944,3,1012.6,1008.3,15.3,209.7,0
85120,1945,3,1021.4,1017.1,16.3,70.8,0
85120,1946,3,1020,1015.7,13.9,82.8,0
85120,1947,3,1009.7,1005.4,14.4,219.9,0
85120,1948,3,1022.5,1018.2,15.2,66.3,0
85120,1949,3,1020.8,1016.5,14,53.5,0
85120,1950,3,1018.6,1014.3,14.3,64.5,0
85120,1951,3,1014,1010,14.5,130,0
85120,1952,3,1010,1006,14.8,170,0
85120,1953,3,1022,1018,14.6,117,0
85120,1954,3,1020,1016,14.9,55,0
85120,1955,3,1013,1008,13.4,90,0
85120,1956,3,1020,1015,13.9,75,0
85120,1957,3,1010,1006,14.8,147,0
85120,1958,3,1012,1007,15.6,184,0
85120,1959,3,1019,1014,13.2,115,0
85120,1960,3,1016,1012,13.8,110,0
85120,1961,3,1018.4,1014.1,14.9,107.8,
85120,1962,3,1010,1005.7,15,199.5,
85120,1963,3,1019.4,1015.1,14,106.6,
85120,1964,3,1012.3,1007.9,13.7,130.2,
85120,1965,3,1017.9,1013.6,15.3,111,
