StationID,Date,Month,SLP(mb),StnP(mb),T(degC),Precip(mm),Sun(%normal)
40130,1846,3,1006.9,,-2.2,,0
40130,1847,3,1014.2,,3.6,,0
40130,1848,3,997,,-0.4,,0
40130,1849,3,1005,,-1.7,,0
40130,1850,3,1017.4,,-0.9,,0
40130,1851,3,1005.9,,0.5,,0
40130,1852,3,1018.7,,2.4,,0
40130,1853,3,1010.9,,-0.2,,0
40130,1854,3,1001.4,,1.1,,0
40130,1855,3,1003.3,,-3.3,,0
40130,1856,3,1018.3,,4.7,,0
40130,1857,3,1001.3,,-1.2,61.1,0
40130,1858,3,1013.1,,-2.4,37.4,0
40130,1859,3,1005,,-9.7,43.7,0
40130,1860,3,1002.6,,-4.8,45.8,0
40130,1861,3,994.5,,-3.2,53.9,0
40130,1862,3,1014.3,,-3.6,41.2,0
40130,1863,3,997,,-1.2,82.2,0
40130,1864,3,1007.7,,-3.5,26.8,0
40130,1865,3,1009.9,,-1.4,47.8,0
40130,1866,3,1011.9,,-8.2,19.6,0
40130,1867,3,1020.4,,-3.9,29.8,0
40130,1868,3,991.7,,-2.8,67.9,0
40130,1869,3,1015.7,,-4,40,0
40130,1870,3,1014.9,,-3.2,39.4,0
40130,1871,3,999.8,,-4.4,48.9,0
40130,1872,3,1008.1,,-1.2,38.3,0
40130,1873,3,999.5,,1.3,115.3,0
40130,1874,3,1003.8,,-1.8,74.5,0
40130,1875,3,1008.9,,2.3,110.2,0
40130,1876,3,1005.8,,-4,10.7,0
40130,1877,3,1006.3,,-3.1,64,0
40130,1878,3,1011.5,,-1.2,62.6,0
40130,1879,3,1003.8,,-2.6,82.3,0
40130,1880,3,1006.5,,2.9,60.5,0
40130,1881,3,1007.9,,-13.3,22.8,0
40130,1882,3,992.3,,-4.4,91.7,0
40130,1883,3,1020.2,,-1,26.3,0
40130,1884,3,997.7,,-1.6,40.2,0
40130,1885,3,1007.8,,-3,34.7,0
40130,1886,3,1007,,-1.8,34.9,0
40130,1887,3,1010.2,,-1.8,45.2,0
40130,1888,3,1013.5,,-4.3,42.1,0
40130,1889,3,1009.7,,-1.4,41.2,0
40130,1890,3,997.3,,-2,20.7,0
40130,1891,3,1011.4,,-4.7,12.7,0
40130,1892,3,1011.1,,-4.6,58.3,0
40130,1893,3,1001.8,,-1.6,68.3,0
40130,1894,3,993.4,,-0.9,116.6,0
40130,1895,3,1002.6,,-0.5,31.1,0
40130,1896,3,996.7,,-3,31,0
40130,1897,3,1002.2,,-0.8,18.3,0
40130,1898,3,1009.4,,-1.4,34.9,0
40130,1899,3,1013.5,,-3.9,70.9,0
40130,1900,3,1021.6,,-1,22.3,0
40130,1901,3,1006.9,,-0.1,46.6,0
40130,1902,3,1003.8,,-4.7,22.7,0
40130,1903,3,987.1,,-2.9,27.4,0
40130,1904,3,1001.7,,-1.8,83.3,0
40130,1905,3,995.1,,-1,28,0
40130,1906,3,1008.6,,-1.1,27.5,0
40130,1907,3,994.9,,-3.1,88.1,0
40130,1908,3,1001.3,,-0.3,29.4,0
40130,1909,3,1016.4,,-1.4,46.3,0
40130,1910,3,1000.1,,-0.5,67.9,0
40130,1911,3,1010.7,,-0.3,56.2,0
40130,1912,3,999,,-1.1,15.8,0
40130,1913,3,990.5,,-2.5,44.9,0
40130,1914,3,1005.5,,-3.8,12.6,0
40130,1915,3,1016.6,,-3.5,20,0
40130,1916,3,1021.8,,-1.7,6.3,0
40130,1917,3,1010.2,,-0.1,40.2,0
40130,1918,3,1002.6,,-0.3,70.7,0
40130,1919,3,1015.9,,-4.6,7,0
40130,1920,3,990.1,,-2.2,81,0
40130,1921,3,991.4,,-2.8,112.7,0
40130,1922,3,1009.5,,-0.9,66,0
40130,1923,3,1005.1,,-3.7,165,0
40130,1924,3,1013.3,,-1.8,50.7,0
40130,1925,3,1013.9,,-0.3,88.7,0
40130,1926,3,1006.6,,-0.7,64.2,0
40130,1927,3,997.7,,-2,89.2,0
40130,1928,3,1009.8,,-1.3,36.8,0
40130,1929,3,1009.3,,-5.4,57.7,0
40130,1930,3,1011.3,,-3.3,57.1,0
40130,1931,3,1013,,-0.7,81,0
40130,1932,3,1011.3,,-1.7,33.2,0
40130,1933,3,1001.8,,-0.4,49,0
40130,1934,3,999.8,,-1.3,55.3,0
40130,1935,3,1006.9,,-1.8,161.2,0
40130,1936,3,1006.7,,-1.1,90.3,0
40130,1937,3,1019,,-1.9,14.1,0
40130,1938,3,994.2,,-0.1,126.6,0
40130,1939,3,1005.8,,-1.9,43.7,0
40130,1940,3,1010.2,,-2,22,0
40130,1941,3,1015.7,,-0.3,63.1,0
40130,1942,3,1007.3,,-1.3,42.3,0
40130,1943,3,999.7,,-0.3,74,0
40130,1944,3,1010.6,,-0.6,78.7,0
40130,1945,3,1003.3,,-2.9,95.3,0
40130,1946,3,1006.3,,-1.5,44.7,0
40130,1947,3,1014.6,,-3.4,4.5,0
40130,1948,3,995.3,,-2.8,226.8,0
40130,1949,3,1009.9,,-0.6,66.4,0
40130,1950,3,1005.3,,-0.4,55.4,0
40130,1951,3,1015,,-3.6,37.3,0
40130,1952,3,1009.8,,0.1,37.8,0
40130,1953,3,1006.1,,1.3,132.6,0
40130,1954,3,1002.2,,0,36.3,0
40130,1955,3,1017.5,,0.1,64.5,0
40130,1956,3,1002.6,,2.6,61.9,0
40130,1957,3,1006.5,,-0.7,19.8,0
40130,1958,3,1015.9,,-1,10.5,0
40130,1959,3,993,,2.5,95.5,0
40130,1960,3,1007.7,,1.7,54.5,0
40130,1961,3,1001.9,,-0.3,117,
40130,1962,3,1025.9,,-2.8,2.5,
40130,1963,3,998.8,,2.5,36.3,
40130,1964,3,1005.5,,4.6,62.6,
40130,1965,3,1013.5,,-2.3,25,
40130,1966,3,1006.5,,-1.7,36.3,
40130,1967,3,997.3,,-4.2,31.1,
40130,1968,3,1000.8,,-2.5,39,
40130,1969,3,1012.9,,-2.9,132.7,
40130,1970,3,1014.3,,-2.8,70.2,
40130,1971,3,1009.8,,-0.6,70.4,
40130,1972,3,998.7,,-1.3,146.5,
40130,1973,3,1000.8,,-0.4,75.8,
40130,1974,3,1004.2,,-2.6,197.2,
40130,1975,3,1008.9,,-0.9,85.5,
40130,1976,3,993.2,,-0.5,109.5,
40130,1977,3,1006.3,,-0.7,49.6,
40130,1978,3,993.4,,-0.5,36.8,
40130,1979,3,1002.6,,-4.6,28.8,
40130,1980,3,1006.7,,-0.2,43.2,
40130,2008,3,1002.7,1000.7,-0.2,46,
40130,2009,3,1001.8,999,-0.4,60,
40130,2010,3,1011.1,1009.1,2,67,
40130,2011,3,1003.8,1001.8,-0.8,121,
40130,2012,3,1002.1,,2.7,115,
40130,2013,3,1021.6,1019.6,0.1,43,
40130,2014,3,996.7,994.7,1.2,89,
40130,2015,3,995.1,993.2,0.6,132,
40130,2016,3,1002.6,1000.7,2.2,67,
40130,2017,3,1002.1,,0.8,47,
40130,2018,3,1010.5,1008.8,1.2,25,
40130,2019,3,996.4,994.7,0.3,116,
40130,2020,3,1000.9,,-0.3,83,
